"catalogNumber","recordNumber","source","surveyname","dateaccuracy","recordedBy","otherCatalogNumbers","reliabdesc","easting","northing","decimalLatitude","decimalLongitude","nsxcode","scientificName","family","vernacularName","eventRemarks","habitat","verbatimLocality","reservename","language","rightsHolder","datasetName","institutionCode","country","countryCode","stateProvince","kingdom","occurrenceStatus","basisOfRecord","verbatimEventDate","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimIdentification","eventDate","establishmentMeans","geodeticDatum","identificationVerificationStatus","organismQuantity","organismQuantityType"
"RVPU96109-167601","RVPU96109-167601","RV","","D","NEW B.D. Bill | EDWARDS J.S. Jeff","","501-1000m",760015,6193601,-34.36633707,137.8273781,"Q01572","Acacia hakeoides","LEGUMINOSAE","Hakea Wattle","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus gracilis +/- E. brachycalyx . +/- E. phenax ssp. +/- E. socialis ssp. Mallee","Johnson RD 0.7 km WNW of Petersville","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","25/6/14",-34.36633707,137.8273781,"decimal degrees","Acacia hakeoides","2014-06-25","native","EPSG:20253","verification required",,
"SUP503742-29","SUP503742-29","SU","GRASSLANDS - LWR NORTH","D","GRAHAM K.L. Kate | SHACKLEY A. Adrian | ROSSER L Leanne | MOISE D.M. Dragos","","5-50m",299307,6164407,-34.64262,138.81033,"Z01079","Petrorhagia dubia","CARYOPHYLLACEAE","Velvet Pink","Recorded as Petrorhagia velutina (NC).","","Site 300m above gully - north facing. Site is approximately 400m west of Allendale Road near Para Woodland gate and dam.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","27/10/12",-34.64262,138.81033,"decimal degrees","Petrorhagia dubia","2012-10-27","introduced","EPSG:20254","verified",,
"SUP15726-17","SUP15726-17","SU","COASTAL DUNE & CLIFFTOP","D","KENNY S.D. Sue | OPPERMANN A.M. Alison","","51-100m",730334,6205259,-34.26833,137.5018,"A01508","Pittosporum angustifolium","PITTOSPORACEAE","Native Apricot","","","From car park MAI00101 drive back down road. Drive past gate south from road curve approx 150m walk in due west towards coast. Undulating crest open spaces with Melaleuca clumps.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","15/9/97",-34.26833,137.5018,"decimal degrees","Pittosporum angustifolium","1997-09-15","native","EPSG:20253","verified",,
"RVPU70473-95907","RVPU70473-95907","RV","","D","MASON S.J. Sam | OBST C.S. Chris","","1-10km",475697,6140850,-34.87442653,140.7340751,"Q03384","Callitris verrucosa","CUPRESSACEAE","Scrub Cypress Pine","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus incrassata var. incrassata/ E. leptophylla Mallee +/- E. phenax","Kringin RD 13.1 km NNW of Kringin","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","2/10/03",-34.87442653,140.7340751,"decimal degrees","Callitris verrucosa","2003-10-02","native","EPSG:20254","verification required",,
"SUP17647-70410","SUP17647-70410","SU","SOUTHERN MT LOFTY","D","ARMSTRONG D.M. David | LANG P.J. Peter","","51-100m",255702,6066798,-35.51236,138.30623,"G01739","Platylobium obtusangulum","LEGUMINOSAE","Holly Flat-pea","","","Site is 100 m down from fenced track end on S side of track. Go into Eucalyptus fasciculosa / E. obliqua Woodland 30 m.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","16/11/99",-35.51236,138.30623,"decimal degrees","Platylobium obtusangulum","1999-11-16","native","EPSG:20254","verified",,
"RVPO92942-419785","RVPO92942-419785","RV","","D","GRIFFIN C. Clare | EDWARDS J.S. Jeff","","501-1000m",750184,6203853,-34.27640803,137.7176084,"E05978","Eucalyptus socialis ssp.","MYRTACEAE","Beaked Red Mallee","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus incrassata +/- E. brachycalyx +/- E. oleosa +/- E. phenax +/- E. socialis Mallee","Old Boundary RD 4 km WSW of Arthurton","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","7/4/09",-34.27640803,137.7176084,"decimal degrees","Eucalyptus socialis ssp.","2009-04-07","native","EPSG:20253","verification required",,
"RVPU39414-43544","RVPU39414-43544","RV","","D","TELFER W.R. Wendy","","501-1000m",260929,6306163,-33.35721069,138.4307277,"A10596","Lomandra sp.","LILIACEAE","Mat-rush","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic and native Grassland ( Stipa sp.  Danthonia sp.)","Lehmans RD 3.5 km ENE of Georgetown","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","22/11/00",-33.35721069,138.4307277,"decimal degrees","Lomandra sp.","2000-11-22","native","EPSG:20254","verification required",,
"OPP567239-2","OPP567239-2","OP","LAKE EYRE BASIN SPRINGS ASSESSMENT","D","GOTCH T. Travis","","0-5m",552760,6871382,-28.28253,135.53801,"C32017","Tecticornia sp.","CHENOPODIACEAE","Samphire","","Low flat spring on samphire flat.","","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","15/10/14",-28.28253,135.53801,"decimal degrees","Tecticornia sp.","2014-10-15","native","EPSG:20253","verified",,
"OPP984625-133","OPP984625-133","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS","D","PICKETT M.I. Marcus","","251-500m",296150,6126000,-34.98808,138.76659,"E01702","Kennedia prostrata","LEGUMINOSAE","Scarlet Runner","","see other comments","Wottons - Jarrett Rd FIMS ID 723 (2.5 km N of Bridgewater)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","30/3/20",-34.98808,138.76659,"decimal degrees","Kennedia prostrata","2020-03-30","native","EPSG:20254","verified",,
"OPP798525-92","OPP798525-92","OP","BDBSA RESERVES DATABASE","D","HODDER M.W. Mike","","1-10km",429491,6046759,-35.72061,140.22042,"A20080","Eucalyptus leucoxylon ssp.","MYRTACEAE","South Australian Blue Gum","","","LEWIS : 4 LOT 51 IN D P 26026 OF SEC 5","744 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","1/5/91",-35.72061,140.22042,"decimal degrees","Eucalyptus leucoxylon ssp.","1991-05-01","native","EPSG:20254","verified",,
